# Idx	Met	Resp	Teff	logg	M/H	vturb	a (linear ld)	u1 (quad ld)	u2 (quad ld)    	b1 (three par)	b2 (three par)	b3 (three par)	c1 (non linear)	c2 (non linear)	c3 (non linear)	c4 (non linear)	l1 (logarithm)	l2 (logarithm)  	e1 (exponent)	e2 (exponent)    	s1 (sqrt law)	s2 (sqrt law)	
19	A100	1	3500.0	4.0	0.0	4.0	0.668730512156	0.480536625666	0.252192480885	1.80170234415	-1.6818491221	0.651745021141	0.678190711979	-0.203643549373	0.667205842539	-0.297750687959	0.768485447053	0.235925873298	0.643919450423	-0.00206053054585	0.292650008331	0.540303709022
20	A100	1	3500.0	4.5	0.0	4.0	0.628812298191	0.376446729665	0.338186856139	2.00146373619	-1.95336983457	0.711683923342	0.574815115929	0.301789718392	0.0376221946274	-0.0930815747105	0.76123241595	0.313180816135	0.597912372365	-0.0025662038052	0.134254777245	0.710516126665
21	A100	1	3500.0	5.0	0.0	4.0	0.603868176739	0.317449191861	0.38382072721	2.1508274598	-2.19447937465	0.795638344412	0.505873523215	0.65500722148	-0.442280929283	0.0873939949159	0.753998718695	0.355066937352	0.569466145549	-0.00285704968496	0.0441656935307	0.804107962393
22	A100	1	3500.0	0.0	0.0	0.0	0.794290711729	0.828732482815	-0.0461542925653	1.6457298803	-1.87236961207	1.05249016881	0.960532778355	-1.19447484183	1.45463598067	-0.292296386639	0.785139811387	-0.0216423794664	0.786799850449	-0.000622107536117	0.802085082045	-0.0111979407287
23	A100	1	3500.0	0.5	0.0	0.0	0.790291359145	0.826966619348	-0.049147318386	1.66852027244	-1.9352598702	1.08928459934	0.937316895082	-1.10303727514	1.31133266925	-0.222998736641	0.780275475278	-0.023688112779	0.782854840921	-0.000617594406908	0.800629688344	-0.0148527710281
24	A100	1	3500.0	1.0	0.0	0.0	0.784891512847	0.821153572398	-0.0485936016878	1.68148723943	-1.97164982409	1.10828926251	0.893263721525	-0.959809233897	1.12235536166	-0.142317765425	0.775201419222	-0.0229176010516	0.777456243525	-0.000617490687049	0.793927235408	-0.0129813546933
25	A100	1	3500.0	1.5	0.0	0.0	0.778977089586	0.8133471236	-0.0460581600581	1.68488950345	-1.98428834816	1.11254660373	0.833790450851	-0.780550124579	0.903718761717	-0.0547953273603	0.770240891616	-0.0206615856906	0.771556625781	-0.000616261105642	0.784806582728	-0.00837505995211
26	A100	1	3500.0	2.0	0.0	0.0	0.773178483907	0.8044622015	-0.0419222882221	1.67895815632	-1.97333760369	1.10252507398	0.770023202139	-0.597927738824	0.693798341887	0.0244599907779	0.765890290401	-0.0172369759906	0.765774080116	-0.000614927339661	0.774314349013	-0.00163186371974
27	A100	1	3500.0	2.5	0.0	0.0	0.767339659228	0.793145404181	-0.034581435997	1.66478887435	-1.93723261431	1.07577900075	0.713066034025	-0.44368005317	0.532620301338	0.0774563642836	0.762583308363	-0.011249029762	0.759815162521	-0.000624900920159	0.76015364246	0.0103239372256
28	A100	1	3500.0	3.0	0.0	0.0	0.753551318588	0.752520707489	0.00138108827394	1.64183347738	-1.82551354799	0.979771224853	0.682461162885	-0.376139736211	0.538333013953	0.0242967036875	0.761575328977	0.018977223136	0.744263750876	-0.00077132196817	0.702240349443	0.0737169479951
